date_pulled,Air pollution level,Air quality index,Main pollutant,Day,Pollution level,Weather,Temperature,Wind
2024-05-31,Moderate,98.0,PM2.5,,,,,
2024-05-30,Moderate,98.0,PM2.5,,,,,
2024-05-31,Moderate,94.0,PM2.5,,,,,
2024-06-01,Moderate,85.0,PM2.5,,,,,
2024-06-02,Good,50.0,PM2.5,,,,,
2024-06-03,Good,10.0,PM2.5,,,,,
2024-06-04,Moderate,53.0,PM2.5,,,,,
2024-06-05,Moderate,70.0,PM2.5,,,,,
2024-06-07,Good,37.0,PM2.5,,,,,
2024-06-08,Moderate,63.0,PM2.5,,,,,
2024-06-09,Moderate,89.0,PM2.5,,,,,
2024-06-10,Moderate,79.0,PM2.5,,,,,
2024-06-11,Moderate,71.0,PM2.5,,,,,
2024-06-12,Moderate,69.0,PM2.5,,,,,
2024-06-13,Good,48.0,PM2.5,,,,,
2024-06-14,Good,27.0,PM2.5,,,,,
2024-06-15,Good,15.0,PM2.5,,,,,
2024-06-16,Moderate,62.0,PM2.5,,,,,
2024-06-17,Moderate,62.0,PM2.5,,,,,
2024-06-18,Moderate,66.0,PM2.5,,,,,
2024-06-19,Good,44.0,PM2.5,,,,,
2024-06-20,Good,37.0,PM2.5,,,,,
2024-06-21,Good,37.0,PM2.5,,,,,
2024-06-22,,,,"Wednesday, Jun 19",Good 29 AQI US,,89.6° 71.6°,2.2 mp/h
2024-06-22,,,,"Thursday, Jun 20",Good 26 AQI US,,91.4° 73.4°,2.2 mp/h
2024-06-22,,,,"Friday, Jun 21",Good 37 AQI US,,93.2° 73.4°,2.2 mp/h
2024-06-22,,,,Today,Good 49 AQI US,100%,93.2° 75.2°,2.2 mp/h
2024-06-22,,,,"Sunday, Jun 23",Moderate 59 AQI US,100%,91.4° 73.4°,2.2 mp/h
2024-06-22,,,,"Monday, Jun 24",Moderate 59 AQI US,70%,80.6° 75.2°,2.2 mp/h
2024-06-22,,,,"Tuesday, Jun 25",Moderate 58 AQI US,100%,75.2° 73.4°,2.2 mp/h
2024-06-22,,,,"Wednesday, Jun 26",Moderate 71 AQI US,100%,84.2° 73.4°,2.2 mp/h
2024-06-22,,,,"Thursday, Jun 27",Moderate 69 AQI US,100%,86° 73.4°,2.2 mp/h
2024-06-22,,,,"Friday, Jun 28",Moderate 75 AQI US,100%,80.6° 73.4°,2.2 mp/h
2024-06-23,Good,16.0,PM2.5,,,,,
2024-06-24,Good,38.0,PM2.5,,,,,
2024-06-25,Good,22.0,PM2.5,,,,,
2024-06-26,Good,11.0,PM2.5,,,,,
2024-06-27,Good,19.0,PM2.5,,,,,
2024-06-28,Good,22.0,PM2.5,,,,,
2024-06-29,Good,33.0,PM2.5,,,,,
